time,pressure_measure
"[0.0, -2.064444444444689, -4.128888888888923, -12.631944444444343, -18.425000000000182, -22.371666666666897, -25.060555555555766, -26.892499999999927, -28.140555555555693, -28.990833333333285]","[0.0, -4.020368172599774, -8.498274987719924, -34.45934511421001, -65.96323519768976, -103.48145630654926, -146.76840937810994, -194.8584905161497, -246.2663150151193, -299.30646580239954]"
"[0.0, -0.40694444444443434, -0.8138888888888687, -1.6516666666666424, -2.3983333333330847, -3.063611111111186, -3.656666666666297, -4.184999999999945, -4.656111111110931, -5.075833333333321]","[0.0, 10.724457078889827, 22.007495226619994, 47.24982228795989, 72.50863541230001, 97.77259522803979, 123.02972477497997, 148.26752183761982, 173.47299907262004, 198.63278079802012]"
"[0.0, -1.916388888889287, -3.833055555555802, -12.33583333333354, -18.128888888888923, -22.07583333333332, -24.76472222222219, -26.596388888889123, -27.844444444444434, -28.695000000000164]","[0.0, -3.414426945269952, -7.212998830120341, -31.19853152630003, -60.669391587590326, -95.83688455787978, -136.28688905863055, -181.00016665082057, -228.55018354123058, -277.39375367049024]"
"[0.0, -0.22944444444465262, -0.4588888888888505, -1.7863888888887232, -2.969722222222117, -4.024166666666588, -4.96388888888896, -5.801666666666733, -6.548333333333176, -7.213611111111277]","[0.0, 3.6441306782098764, 7.357256763749774, 30.335733247429744, 53.352637711359876, 76.40241042917978, 99.47835538116988, 122.57276294385974, 145.67698815825997, 168.78158482439994]"
"[0.0, -0.6686111111107493, -1.3374999999996362, -31.63166666666666, -58.52055555555535, -76.83972222222201, -89.32055555555553, -97.82333333333327, -103.61638888888865, -107.56333333333305]","[0.0, 0.03617142273014906, 0.07248967679061025, 1.8330608623200533, 3.2328345150408495, 3.1514119688208666, 0.9992538627802787, -3.808829582079852, -11.8757734096298, -23.796197990419387]"
"[0.0, -0.003055555555420142, -0.006388888888977817, -0.014722222222189885, -0.022222222222353594, -0.028888888889014197, -0.03499999999985448, -0.040833333333466726, -0.04694444444430701, -0.05305555555560204]","[0.0, -0.08924670713031446, -0.18295327016994634, -0.45589570641004684, -0.7333154375201048, -1.0133449135400951, -1.3008213598700422, -1.626034867279941, -1.9981496337700264, -2.4304957876602202]"
"[0.0, -5.8494444444445435, -11.698888888889087, -41.99333333333334, -72.28777777777805, -102.58194444444462, -132.87638888888887, -163.1705555555559, -193.46500000000015, -220.35388888888883]","[0.0, 0.11804049186002885, 0.2399682200098141, 0.9326511386998391, 1.719337769859976, 2.56810615716995, 3.393288878279691, 3.970485021609875, 3.659831269159895, 0.9328750875297374]"
"[0.0, -0.0033333333335576754, -0.006388888888977817, -0.014722222222189885, -0.022222222222353594, -0.028888888889014197, -0.03499999999985448, -0.04111111111114951, -0.04694444444430701, -0.05305555555560204]","[0.0, -0.06758057156002906, -0.13904700514012802, -0.34982817203990635, -0.5674604765199547, -0.7900014053898303, -1.0209686307598531, -1.2848447868300354, -1.5896270390799145, -1.9469479838498955]"
"[0.0, -6.819444444444343, -13.638611111111459, -43.933055555556166, -74.22722222222274, -104.52166666666653, -134.81611111111124, -165.1102777777778, -195.40472222222252, -225.69916666666722]","[0.0, -0.00862628576987845, -0.015454372949989192, -0.02352032221006084, 0.005971753580070072, 0.07431695622017287, 0.1821029881702998, 0.3286509796103019, 0.5110432210499312, 0.722383784629983]"
"[0.0, -0.003333333333102928, -0.006388888888977817, -0.014722222222189885, -0.022222222221898846, -0.028888888889014197, -0.03499999999985448, -0.041111111110694765, -0.04694444444430701, -0.053055555555147293]","[0.0, -0.16253924145030396, -0.3303574694900817, -0.8045385194000119, -1.2675488613799644, -1.7189490426499106, -2.168367819080231, -2.662350091350163, -3.2116980239102304, -3.8321242615502342]"
"[0.0, -2.743611111111022, -5.487222222222954, -13.990000000000691, -19.78305555555562, -23.730000000000473, -26.41888888888934, -28.250555555556275, -29.49888888888927, -30.34916666666686]","[0.0, -7.850459030009915, -16.641492079620093, -52.456138700320025, -89.37697790515995, -125.99068754537029, -161.08332659507005, -193.82865501121023, -223.83745087136003, -251.08280114049012]"
"[0.0, -0.0030555555558748893, -0.006388888888977817, -0.013888888889596274, -0.02055555555580213, -0.026666666666642413, -0.03250000000025466, -0.03861111111109494, -0.04472222222284472, -0.050833333333685005]","[0.0, -1.1180042137498276, -2.275143190539893, -5.175818931370031, -7.99861649757986, -10.80438208491978, -13.883446297089904, -17.302072983110065, -21.15664846942991, -25.59672646315994]"
"[0.0, -11.940277777777737, -23.880555555555475, -54.17500000000018, -84.46916666666675, -114.76361111111146, -145.05805555555526, -175.35222222222274, -205.64666666666653, -235.9408333333331]","[0.0, 0.15384634754991566, 0.31245447491983214, 0.7365844873697824, 1.1924113107997982, 1.6803291859100682, 2.2002373472996624, 2.751278127650039, 3.3314398039096886, 3.9369453122599225]"
