  Elapsed time	Data
   (hr)	(psia)
  21.5875 3174.92
  21.61666667 3177.92
  21.65 3181.01
  21.71666667 3183.590000000001
  21.75 3185.76
  21.9125 3188.09
  21.98333333 3190.51
  22.06666667 3192.52
  22.14583333 3190.09
  22.17916667 3192.4
  22.27916667 3194.89
  22.33333333 3192.4
  22.37916667 3194.65
  22.42916667 3197.940000000001
  22.5 3200.010000000001
  22.58333333 3202.06
  22.6 3199.59
  22.63333333 3202.15
  22.78333333 3204.29
  23.02916667 3206.32
  23.25 3208.59
  23.29583333 3206.59
  23.3625 3208.81
  23.42083333 3210.83
  23.43333333 3207.81
  23.4625 3210.39
  23.66666667 3213.94
  23.69166667 3213.32
  23.69583333 3210.83
  23.7 3208.14
  23.71666667 3211.119999999999
  23.79583333 3213.47
  23.93333333 3211.21
  23.94166667 3211.21
  23.94583333 3213.32
  23.95 3215.44
  24.26666667 3217.81
  24.35 3215.63
  24.39583333 3217.88
  24.43333333 3215.36
  24.47916667 3218.87
  24.58333333 3220.89
  24.6125 3218.81
  24.63333333 3221.97
  24.6625 3219.67
  24.8125 3221.87
  24.83333333 3219.24
  24.85 3222.19
  25.1625 3224.26
  25.41666667 3227.48
  25.43333333 3224.28
  25.4625 3226.42
  25.58333333 3228.75
  25.61666667 3226.36
  25.64583333 3228.500000000001
  25.79166667 3229.75
  25.79583333 3232.05
  25.8 3234.53
  25.84166667 3236.46
  25.84583333 3238.89
  25.85 3241.31
  25.86666667 3243.68
  25.9 3239.77
  26.00833333 3240.1
  26.0125 3242.6
  26.01666667 3245.29
  26.1 3242.47
  26.14583333 3244.98
  26.1625 3247.63
  26.24583333 3245.48
  26.27916667 3246.49
  26.28333333 3249.36
  26.39583333 3246.84
  26.42916667 3248.08
  26.43333333 3250.94
  26.6 3254.12
  26.63333333 3252.04
  26.65 3254.15
  26.68333333 3252.07
  26.7 3255.11
  26.78333333 3252.95
  26.8 3255.56
  26.88333333 3257.8
  26.91666667 3255.16
  26.94583333 3257.81
  27.2 3259.94
  27.21666667 3257.1
  27.225 3257.08
  27.22916667 3259.44
  27.23333333 3261.83
  27.26666667 3259.7
  27.29583333 3262.44
  27.53333333 3265.82
  27.54166667 3265.84
  27.54583333 3263.82
  27.55 3261.78
  27.56666667 3264.6
  27.66666667 3267.28
  27.675 3267.300000000001
  27.67916667 3265.22
  27.68333333 3263.09
  27.7625 3265.4
  27.83333333 3267.98
  27.88333333 3265.87
  27.9 3268.15
  27.91666667 3265.66
  27.97916667 3268.18
  28 3265.940000000001
  28.02916667 3268.18
  28.05 3270.72
  28.06666667 3268.33
  28.13333333 3270.88
  28.23333333 3268
  28.28333333 3270.33
  28.47916667 3271.69
  28.48333333 3273.71
  28.5 3270.36
  28.51666667 3273.29
  28.65 3276.12
  28.67916667 3273.68
  28.74583333 3275.74
  28.96666667 3278.13
  29.08333333 3275.66
  29.1 3277.89
  29.2125 3278.09
  29.21666667 3280.15
  29.23333333 3277.58
  29.3 3280.52
  29.46666667 3282.64
  29.75 3284.68
  29.8125 3287.05
  29.84166667 3288.64
  29.84583333 3291.08
  29.85 3293.54
  29.85833333 3293.550000000001
  29.8625 3290.96
  29.86666667 3288.34
  29.88333333 3290.42
  29.9 3293.679999999999
  29.91666667 3296.81
  29.93333333 3299.47
  29.9625 3297.26
  29.98333333 3299.38
  29.99166667 3299.49
  29.99583333 3297.35
  30 3295.04
  30.00833333 3294.87
  30.0125 3297.72
  30.01666667 3300.79
  30.03333333 3298.46
  30.09583333 3301.26
  30.19583333 3303.37
  30.23333333 3305.39
  30.25 3303.35
  30.38333333 3301.13
  30.4125 3303.77
  30.46666667 3305.79
  30.53333333 3308.87
  30.54166667 3308.87
  30.54583333 3306.36
  30.55 3303.820000000001
  30.56666667 3306.2
  30.6 3308.41
  30.61666667 3305.78
  30.68333333 3308.68
  30.8 3310.83
  30.93333333 3307.670000000001
  30.95 3310.34
  31.01666667 3312.52
  31.05 3309.61
  31.06666667 3311.7
  31.13333333 3313.840000000001
  31.19583333 3311.22
  31.21666667 3314.02
  31.41666667 3316.84
  31.5875 3318.89
  31.6 3316.68
  31.66666667 3319.03
  31.78333333 3321.14
  31.8 3318.5
  31.84583333 3319.64
  31.85 3322.17
  31.88333333 3319.96
  32 3322.37
  32.08333333 3320.17
  32.09999999999999 3323.28
  32.108355 3323.29
  32.25002167 3325.35
  32.36668833 3322.86
  32.383355 3325.13
  32.41668833 3321.78
  32.433355 3324.699999999999
  32.46252167 3327.14
  32.60002166999999 3325.06
  32.61668833 3328.15
  32.65002167 3330.32
  32.66668833 3328.32
  32.895855 3331.09
  32.983355 3333.12
  33.033355 3330.33
  33.06252167 3332.57
  33.12918833 3331.23
  33.133355 3328.83
  33.14168832999999 3328.83
  33.145855 3331.67
  33.15002167 3334.52
  33.17918833 3331.92
  33.233355 3334.24
  33.36252167 3335.4
  33.36668833 3337.51
  33.383355 3334.739999999999
  33.41668833 3337.21
  33.445855 3335.12
  33.46668833 3337.83
  33.50002167 3335.46
  33.63752167 3337.5
  33.70002167 3335.24
  33.72918833 3337.61
  33.745855 3339.68
  33.76668833 3341.96
  33.783355 3344.56
  33.845855 3347.25
  33.86252166999999 3349.97
  33.86668833 3351.97
  33.895855 3354.52
  33.95002167 3357.43
  33.96668833 3354.26
  33.99585499999999 3356.95
  34.00002167 3359.000000000001
  34.01252167 3357.04
  34.01668833 3354.8
  34.02502167 3354.64
  34.02918833 3357.17
  34.033355 3359.89
  34.07918832999999 3358.27
  34.083355 3356.09
  34.10002166999999 3358.59
  34.11668833 3361.02
  34.133355 3357.48
  34.16252167 3357.98
  34.16668833 3360.08
  34.22918833 3360.68
  34.233355 3363.24
  34.24168833 3363.24
  34.245855 3361.15
  34.25002167 3359.08
  34.30002167 3361.36
  34.47918833 3364.09
  34.50002167 3361.59
  34.508355 3361.59
  34.51252167 3363.84
  34.51668833 3366.070000000001
  34.56668833 3364.01
  34.61668833 3366.62
  34.633355 3364.12
  34.67502167 3363.28
  34.67918833 3366.219999999999
  34.683355 3369.37
  34.70002167 3366.44
  34.833355 3368.92
  35.01668832999999 3372.22
  35.033355 3370.1
  35.083355 3372.79
  35.10002167 3370.55
  35.195855 3373.07
  35.30002167 3370.47
  35.32918833 3372.64
  35.36252166999999 3374.79
  35.383355 3377.24
  35.40002167 3373.38
  35.41668833 3375.4
  35.56668833 3378.71
  35.60002166999999 3376.51
  35.65002167 3379.08
  35.66668833 3376.43
  35.68335499999999 3379.23
  35.845855 3380.48
  35.85002167 3382.54
  35.87918833 3379.21
  35.895855 3376.94
  35.92918833 3378.96
  35.95002167 3381.4
  36.00002167 3383.66
  36.05002167 3380.93
  36.095855 3383.13
  36.20002167 3385.83
  36.21668833 3382.82
  36.30002166999999 3386.09
  36.345855 3383.86
  36.36668833 3386.19
  36.383355 3384.11
  36.40002167 3387.51
  36.42918833 3384.94
  36.533355 3387.78
  36.71252167 3390.4
  36.72918833 3389.3
  36.733355 3386.67
  36.75002167 3390.09
  36.783355 3386.73
  36.80002167 3390.28
  37.05002166999999 3393.33
  37.083355 3390.38
  37.10002166999999 3393.22
  37.26252167 3395.59
  37.35002167 3393.54
  37.395855 3396.12
  37.45002167 3393.52
  37.46668833 3396.29
  37.65002167 3398.67
  37.66668833 3401.66
  37.695855 3404.3
  37.76668833 3406.85
  37.795855 3410.27
  37.80418833 3412.37
  37.833355 3414.38
  37.85002166999999 3411.36
  37.858355 3411.24
  37.86252167 3413.88
  37.86668833 3416.7
  37.883355 3412.989999999999
  37.90002167 3410.54
  37.92918833 3413.9
  37.945855 3412.62
  37.95002167 3409.57
  37.958355 3409.56
  37.96252167 3412.98
  37.96668833 3416.4
  37.995855 3417.77
  38.00002167 3420.23
  38.045855 3418.14
  38.10002167 3416.04
  38.12918833 3418.99
  38.145855 3421.35
  38.16668833 3424.179999999999
  38.183355 3420.61
  38.20002167 3418.6
  38.25002167 3420.85
  38.27918833 3424.45
  38.31668833 3427.17
  38.333355 3423.69
  38.36252166999999 3421.17
  38.39168832999999 3420.41
  38.395855 3423.18
  38.40002167 3426.15
  38.483355 3428.21
  38.55002166999999 3430.4
  38.645855 3431.17
  38.65002167 3433.6
  38.67918833 3430.55
  38.75002167 3432.690000000001
  38.80002167 3435.02
  38.81252167 3433.150000000001
  38.81668832999999 3431.07
  38.82918833 3432.83
  38.833355 3434.86
  38.86668833 3432.36
  38.90002167 3435.33
  38.91668833 3433
  38.945855 3435.14
  39.01252167 3437.21
  39.07918833 3434.94
  39.11252166999999 3437.64
  39.120855 3439.659999999999
  39.133355 3437.19
  39.15002167 3439.38
  39.445855 3442.46
  39.62918833 3442.93
  39.633355 3444.94
  39.71252167 3447
  39.783355 3449.15
  39.79168833 3449.15
  39.795855 3446.24
  39.80002167 3443.33
  39.81668833 3445.78
  39.91668833 3448.57
  40.133355 3451.09
  40.15002167 3448.98
  40.18335499999999 3451.79
  40.20002167 3449.31
  40.25002167 3451.81
  40.37918833 3455.27
  40.395855 3454.79
  40.40002167 3452.730000000001
  40.41668833 3455.050000000001
  40.433355 3451.92
  40.46252167 3454.06
  40.56668833 3456.26
  40.683355 3458.37
  40.76252167 3455.11
  40.77918833 3455.82
  40.783355 3458.460000000001
  40.795855 3456.63
  40.80002166999999 3454.52
  40.833355 3457.26
  40.86252167 3459.85
  40.883355 3457.31
  40.90002167 3459.35
  40.91668833 3456.53
  40.945855 3458.99
  40.96252167 3458.62
  40.96668833 3456.5
  40.983355 3458.78
  41.145855 3458.82
  41.15002167 3460.92
  41.245855 3463.19
  41.26668833 3460.97
  41.37918833 3463.710000000001
  41.40002167 3461.53
  41.41668833 3464.1
  41.45002167 3461.67
  41.49585499999999 3464.07
  41.56668833 3466.15
  41.57918832999999 3464.150000000001
  41.633355 3466.369999999999
  41.65002167 3464.2
  41.66668833 3467.02
  41.67918833 3465.070000000001
  41.68335499999999 3462.9
  41.70002167 3466.22
  41.77918833 3465.87
  41.783355 3463.64
  41.80002167 3466.71
  41.86668833 3469.71
  41.90002167 3466.28
  41.96252167 3468.92
  42.16252166999999 3471.1
  42.21668833 3468.67
