          Elapsed time          Liquid rate
                 (hr)              (STB/D)
  89.18338444456458 -19938.2234292045
  91.26671777787851 -19941.79269606407
  93.35005111127975 -19947.20112389947
  95.43338444459369 -19952.94452870361
  97.51671777790762 -19955.04306817259
  98.80838444459369 -19950.60496382935
  99.10005111125065 -19941.10535909964
  99.18338444450637 -19927.24386630575
  99.26671777784941 -19908.48295319194
  99.39171777790762 -19893.15235759928
  99.89171777787851 -19881.56817755786
  101.3500511112507 -19871.1882898374
  103.4333844445646 -19861.62007312343
  105.5167177778785 -19852.42738119505
  107.6000511112798 -19848.31379877302
  109.6833844445937 -19849.67400146804
  111.7667177779076 -19853.99274333104
  113.5167177778494 -19856.79449122398
  114.3083844445646 -19869.43690145216
  114.4333844446228 -19881.04909583394
  114.5167177778785 -19890.94857909107
  114.6000511112216 -19907.51030565493
  114.6833844445646 -19924.33222717745
  114.8083844445355 -19934.49202903057
  115.1000511111924 -19945.82395681445
  116.3500511112507 -19956.2091838808
  118.4333844445646 -19957.08839219649
  120.5167177778785 -19948.84664963179
  122.6000511112798 -19942.2624691347
  124.6833844445937 -19941.2015270235
  126.7667177779076 -19942.20873248421
  128.8500511112216 -19943.54963607615
  130.9333844445355 -19947.63223613951
  133.0167177778494 -19955.7025966734
  135.1000511112507 -19964.04876150442
  136.4333844445646 -19969.43136979623
  136.7667177778494 -19981.04292719793
  136.8500511112798 -19838.18103832654
  136.9333844446228 -19703.61469963596
  137.0167177778785 -19575.19228295743
  137.1417177778494 -19508.49787008332
  137.2667177779076 -19494.14663378959
  137.3500511112507 -19492.47197678031
  137.4333844445064 -19866.25094135852
  137.5167177778494 -20117.34542676247
  137.6000511112798 -20257.51306389847
  137.6833844446228 -20329.21305343509
  137.7667177778785 -20466.49492515719
  137.8500511112216 -20263.38572628322
  138.9333844445937 -20176.94026226438
  141.0167177779076 -20186.34212023795
  143.1000511112216 -20189.12108581113
  145.1417177779076 -20186.63029168997
  146.8083844445937 -20176.33799929517
  148.1000511111924 -20165.93159158044
  149.3917177778785 -20155.2692940525
  150.8083844446228 -20144.7045692294
  152.3083844446228 -20134.33740360103
  153.6833844445646 -20123.74008105438
  154.8500511111924 -20113.22440746045
  155.9333844445646 -20102.94082303241
  157.0583844445646 -20092.43296117789
  158.2667177779076 -20081.78556185342
  159.5583844445937 -20071.71235988332
  160.6417177778785 -20061.65776147747
  161.3917177778785 -20051.09879854036
  161.9750511111924 -20040.9597452035
  162.3500511111924 -20028.91709630609
  162.5583844445937 -20012.75438377263
  162.7250511112798 -19996.74655159556
  162.9333844445937 -19983.90458558321
  163.2250511112507 -19972.8302949822
  163.6000511112507 -19961.38884948452
  164.0583844445937 -19950.76794086166
  164.5167177779367 -19939.25764710304
  164.9333844445646 -19928.67790330383
  165.3500511111924 -19917.99767505073
  165.8083844445355 -19907.993682568
  166.3083844445937 -19897.70504107347
  166.7250511113089 -19885.7873005252
  167.0583844445937 -19875.02788537261
  167.3083844445355 -19860.92177883467
  167.4750511112216 -19847.43306906119
  167.6417177779076 -19831.03950893146
  167.8500511112216 -19817.3410723762
  168.1417177778785 -19805.51997443628
  168.4333844445355 -19792.67872559209
  168.6833844445646 -19781.64326229176
  168.9333844445937 -19769.63235580169
  169.1833844445355 -19757.1844775699
  169.4333844445646 -19745.26877440257
  169.6417177778785 -19733.69382897032
  169.8083844445646 -19722.59553030987
  169.9750511112507 -19708.65923322912
  170.1000511112216 -19696.78876863162
  170.1833844445646 -19690.23662879235
  170.8500511112216 -19646.96113771676
  171.5583844445937 -19636.00142242187
  171.7250511112798 -19622.55747818032
  171.8917177778785 -19610.07498827636
  172.0583844445646 -19599.51599079769
  172.1833844446228 -19589.77716233692
  172.2667177778785 -19689.54296043264
  172.3500511112216 -19746.06022981188
  172.4333844445646 -19759.79434458662
  173.5167177778494 -19772.45916733066
  175.1417177778203 -19764.77555437208
  176.2250511111924 -19754.71315563698
  177.2250511112216 -19744.67590336941
  178.2667177778785 -19734.1569969635
  179.4333844445937 -19724.09505424846
  180.6000511113089 -19713.76340015102
  181.1833844446228 -19705.85017608899
  181.2667177778785 -19531.51146408977
  181.3500511112216 -19687.06269904371
  181.4333844445646 -19628.34517876001
  181.5167177779076 -19549.79489010869
  181.6000511112507 -19611.00216821773
  181.6833844445064 -19551.27955701493
  181.7667177778494 -19848.20475025937
  181.8500511112798 -20099.79256030468
  181.9333844446228 -20250.00783227899
  182.0167177778785 -20399.29066798983
  182.1000511112216 -20094.67732058286
  182.1833844445646 -19933.03335879145
  182.2667177779076 -19834.22111512381
  182.3500511112507 -19773.44205476635
  182.4333844445064 -19578.12728398896
  182.5167177778494 -19811.44327591287
  182.6000511112798 -19929.22166682015
  182.6833844446228 -20065.51355916903
  182.7667177778785 -20132.66220466208
  182.8500511112216 -20124.38013179922
  182.9333844445646 -20163.76537060006
  183.0167177779076 -20174.46115258672
  183.0590413394384 -20186.12626001271
  183.1007080060663 -20186.31016601915
  183.1833844445064 -20277.87407795723
  183.2667177778494 -20370.90466114556
